id.exposure	id.outcome	outcome	exposure	pt	outliers_removed	Isq	egger_intercept	se	pval
5yEpSA	SNcnNA	covidhgi2020A2v6alleur	Yengo2018bmi	5e-8	FALSE	0.89912251171155	1.2173302333102776e-4	0.002797228383030504	0.9653049977852213
TKsFme	HqHz1h	covidhgi2020B2v6alleur	Yengo2018bmi	5e-8	FALSE	0.8931212777329991	8.388261282772463e-4	0.0017952765945045228	0.6405304832071299
qnDIXs	Y2A9tr	covidhgi2020C2v6alleur	Yengo2018bmi	5e-8	FALSE	0.8902006560101661	-3.9217714498925405e-5	6.46976865958485e-4	0.9516884599265043
eFf3VE	kvIVtj	covidhgi2020A2v6alleur	Mahajan2018t2d	5e-8	FALSE	0.925596716827085	0.007096777674584761	0.004298546167959992	0.10035395346702689
eFf3VE	kvIVtj	covidhgi2020A2v6alleur	Mahajan2018t2d	5e-8	TRUE	0.9263510996241985	0.004850801461063798	0.003912675751387292	0.21656734075971906
a8l1rV	FLib3p	covidhgi2020B2v6alleur	Mahajan2018t2d	5e-8	FALSE	0.9214474737827565	0.007427051421884115	0.003004823718964468	0.01429956656211703
a8l1rV	FLib3p	covidhgi2020B2v6alleur	Mahajan2018t2d	5e-8	TRUE	0.9217843609737439	0.005645628778081012	0.002539458306165982	0.0273590818733908
0GWt80	IxQnRF	covidhgi2020C2v6alleur	Mahajan2018t2d	5e-8	FALSE	0.9220388995599225	0.0038775388113529573	0.001311942124958966	0.0035057145235497093
0GWt80	IxQnRF	covidhgi2020C2v6alleur	Mahajan2018t2d	5e-8	TRUE	0.922414129612241	0.002934113314260493	8.606674323996178e-4	7.92665574081704e-4
E9sSqR	OE9X6l	covidhgi2020A2v6alleur	Willer2013hdl	5e-8	FALSE	0.9709385017847131	5.66821660381848e-5	0.004295923315405647	0.9895036108786681
tdFZCh	70FJyf	covidhgi2020B2v6alleur	Willer2013hdl	5e-8	FALSE	0.9707517868592627	-0.004358349049618262	0.002629544127970002	0.10111424590443759
OAitl9	Rkrihk	covidhgi2020C2v6alleur	Willer2013hdl	5e-8	FALSE	0.9707436449505863	-4.994921628441132e-4	0.0010241562417931812	0.6270102395454358
QJBziQ	9eZnTw	covidhgi2020A2v6alleur	Willer2013ldl	5e-8	FALSE	0.9819406531303266	0.0036287693416773535	0.005733217469449008	0.5286742628776068
QJBziQ	9eZnTw	covidhgi2020A2v6alleur	Willer2013ldl	5e-8	TRUE	0.9822839657516612	0.0051942636386955844	0.00476259658538347	0.278971271674659
GUgVAH	D7eGQF	covidhgi2020B2v6alleur	Willer2013ldl	5e-8	FALSE	0.9819656908193245	-2.0388283927265933e-4	0.003545563779638526	0.9542949238772114
GUgVAH	D7eGQF	covidhgi2020B2v6alleur	Willer2013ldl	5e-8	TRUE	0.9824832674259119	-5.410001046484602e-4	0.0025496769429620837	0.8325549962024513
y0a0qN	HR0ls2	covidhgi2020C2v6alleur	Willer2013ldl	5e-8	FALSE	0.9819763782616394	1.9602660975028834e-4	0.0017406691777877095	0.9106321969472352
y0a0qN	HR0ls2	covidhgi2020C2v6alleur	Willer2013ldl	5e-8	TRUE	0.9823223110406729	2.7877360872414526e-4	9.251657645500728e-4	0.7640134001603491
9nt0EJ	McX00N	covidhgi2020A2v6alleur	Willer2013tc	5e-8	FALSE	0.9740540172016873	0.0026928708716355545	0.005379818634814206	0.6179964973596417
9nt0EJ	McX00N	covidhgi2020A2v6alleur	Willer2013tc	5e-8	TRUE	0.9745060328043542	0.0037517198826416895	0.004445560569771563	0.40116658552598905
