exposure	outcome	pt	pve.exposure	samplesize.exposure	samplesize.outcome	nsnps	k.outcome	method	b	se	pval	outliers_removed	logistic	or	beta	F	Alpha	NCP	Power
Yengo2018bmi	covidhgi2020A2v6alleur	5e-8	0.052984056842302465	690495	1388208	504	0.005504218388022544	Inverse variance weighted (fixed effects)	0.35107530080417604	0.06164753040153111	1.2345857167055363e-8	FALSE	TRUE	1.420594293777491	NA	76.59495716049415	0.05	70.96356296586343	0.9999999999490224
Yengo2018bmi	covidhgi2020B2v6alleur	5e-8	0.052984056842302465	690495	1388208	504	0.013402170279958046	Inverse variance weighted (fixed effects)	0.3470303099667346	0.037171445024470284	1.0010082703892704e-20	FALSE	TRUE	1.4148596090682086	NA	76.59495716049415	0.05	165.91279616363013	1
Yengo2018bmi	covidhgi2020C2v6alleur	5e-8	0.052984056842302465	690495	1388208	504	0.07043829166810738	Inverse variance weighted (fixed effects)	0.1194053251938514	0.013271666409992297	2.3194687797473937e-19	FALSE	TRUE	1.126826556931153	NA	76.59495716049415	0.05	76.17837801170725	0.9999999999934739
Mahajan2018t2d	covidhgi2020A2v6alleur	5e-8	0.016460845135313172	898130	1388208	197	0.005504218388022544	Inverse variance weighted (fixed effects)	0.29440401004950106	0.11280139776613307	0.009056014611395205	FALSE	TRUE	1.3423261073688086	NA	76.2847448433478	0.05	14.612612224975365	0.9687464007950414
Mahajan2018t2d	covidhgi2020A2v6alleur	5e-8	0.016342536122879447	898130	1388208	195	0.005504218388022544	Inverse variance weighted (fixed effects)	0.2743180782686903	0.11323291884610787	0.015409880495892366	TRUE	TRUE	1.3156332100256611	NA	76.5042156303721	0.05	12.33577274523388	0.9397009534774126
Mahajan2018t2d	covidhgi2020B2v6alleur	5e-8	0.01650755457754369	898130	1388208	198	0.013402170279958046	Inverse variance weighted (fixed effects)	0.25886894677081085	0.067490391161474525	1.2523696499314966e-4	FALSE	TRUE	1.2954640189598152	NA	76.11837155342023	0.05	26.274032143082106	0.9992268638201907
Mahajan2018t2d	covidhgi2020B2v6alleur	5e-8	0.016300315441264764	898130	1388208	196	0.013402170279958046	Inverse variance weighted (fixed effects)	0.24641944912585614	0.0679263112221945	2.8590558252664165e-4	TRUE	TRUE	1.2794361193688906	NA	75.91390604927349	0.05	23.212898687109053	0.9978684829106681
Mahajan2018t2d	covidhgi2020C2v6alleur	5e-8	0.016470284112022265	898130	1388208	197	0.07043829166810738	Inverse variance weighted (fixed effects)	0.07740012240906273	0.024047326034392556	0.0012879191793162793	FALSE	TRUE	1.0804743118978848	NA	76.32922056436034	0.05	9.590244298072985	0.8721992907899925
Mahajan2018t2d	covidhgi2020C2v6alleur	5e-8	0.01641805178225165	898130	1388208	196	0.07043829166810738	Inverse variance weighted (fixed effects)	0.05299284209316963	0.024088574389881785	0.02781284978375897	TRUE	TRUE	1.0544220976372092	NA	76.47138094420517	0.05	4.387064934367773	0.5535484654505012
Willer2013hdl	covidhgi2020A2v6alleur	5e-8	0.055716117022046284	188577	1388208	87	0.005504218388022544	Inverse variance weighted (fixed effects)	-0.07159600686546523	0.05830532046765942	0.2194658115952542	FALSE	TRUE	0.9309068998509973	NA	127.83360084529282	0.05	2.0227634325182957	0.2957429576489943
Willer2013hdl	covidhgi2020B2v6alleur	5e-8	0.055716117022046284	188577	1388208	87	0.013402170279958046	Inverse variance weighted (fixed effects)	-0.06837934270406118	0.035648453626899675	0.055091064624044124	FALSE	TRUE	0.9339061358948257	NA	127.83360084529282	0.05	4.475770681846301	0.5618636660357292
Willer2013hdl	covidhgi2020C2v6alleur	5e-8	0.055716117022046284	188577	1388208	87	0.07043829166810738	Inverse variance weighted (fixed effects)	-0.010240276528438615	0.012841728657645992	0.4252060055092054	FALSE	TRUE	0.9898119765890243	NA	127.83360084529282	0.05	0.5264156542438512	0.11214439354222272
Willer2013ldl	covidhgi2020A2v6alleur	5e-8	0.06628101178127495	188577	1388208	78	0.005504218388022544	Inverse variance weighted (fixed effects)	-0.02050294150196412	0.05448077322432896	0.7066689578022635	FALSE	TRUE	0.9797058146637013	NA	171.54777220199728	0.05	0.20748348215471862	0.07408893818885631
Willer2013ldl	covidhgi2020A2v6alleur	5e-8	0.06490338778633913	188577	1388208	76	0.005504218388022544	Inverse variance weighted (fixed effects)	-0.05019060152825013	0.055125596464126785	0.3625708736774809	TRUE	TRUE	0.9510481359961696	NA	172.1506413844544	0.05	1.1824934509786362	0.192611438606209
Willer2013ldl	covidhgi2020B2v6alleur	5e-8	0.06628101178127495	188577	1388208	78	0.013402170279958046	Inverse variance weighted (fixed effects)	0.013412043762062804	0.03309689429062413	0.6853042515634851	FALSE	TRUE	1.013502388672464	NA	171.54777220199728	0.05	0.2217297920193433	0.0757646909682399
Willer2013ldl	covidhgi2020B2v6alleur	5e-8	0.0646550968943883	188577	1388208	75	0.013402170279958046	Inverse variance weighted (fixed effects)	-0.019893890982089966	0.03352119705681861	0.5528653337528011	TRUE	TRUE	0.9803026867436209	NA	173.73342359911584	0.05	0.4606999191058216	0.10422011804759124
Willer2013ldl	covidhgi2020C2v6alleur	5e-8	0.06628101178127495	188577	1388208	78	0.07043829166810738	Inverse variance weighted (fixed effects)	0.009660539541709456	0.011869896635861854	0.41572006727925914	FALSE	TRUE	1.0097073531807277	NA	171.54777220199728	0.05	0.5669455332589236	0.11704953368652826
Willer2013ldl	covidhgi2020C2v6alleur	5e-8	0.06490338778633913	188577	1388208	76	0.07043829166810738	Inverse variance weighted (fixed effects)	-0.008730706781874101	0.012003057042926599	0.46699712394418313	TRUE	TRUE	0.99130729516355	NA	172.1506413844544	0.05	0.44632680128876145	0.10249204207181473
Willer2013tc	covidhgi2020A2v6alleur	5e-8	0.06280489715362395	188577	1388208	86	0.005504218388022544	Inverse variance weighted (fixed effects)	-0.04586647602707785	0.05616329179387933	0.4141211059008365	FALSE	TRUE	0.9551694917017477	NA	146.87685389481615	0.05	0.9596505505195314	0.16510085021517695
Willer2013tc	covidhgi2020A2v6alleur	5e-8	0.06158815440733857	188577	1388208	84	0.005504218388022544	Inverse variance weighted (fixed effects)	-0.0802461583189762	0.05677884121822341	0.1575643142364745	TRUE	TRUE	0.9228891415839132	NA	147.27103709302432	0.05	2.785250726564341	0.3856462179533523
Willer2013tc	covidhgi2020B2v6alleur	5e-8	0.06280489715362395	188577	1388208	86	0.013402170279958046	Inverse variance weighted (fixed effects)	-0.013426042113211788	0.033910449504602806	0.692159326521917	FALSE	TRUE	0.9866636851805145	NA	146.87685389481615	0.05	0.20511210902024785	0.07381025068218006
Willer2013tc	covidhgi2020B2v6alleur	5e-8	0.06177162864141328	188577	1388208	85	0.013402170279958046	Inverse variance weighted (fixed effects)	-0.04775322336300496	0.03421283816653307	0.16278402919621648	TRUE	TRUE	0.9533690272527819	NA	145.99977386276493	0.05	2.46867167841676	0.3489325031611268
Willer2013tc	covidhgi2020C2v6alleur	5e-8	0.06280489715362395	188577	1388208	86	0.07043829166810738	Inverse variance weighted (fixed effects)	0.014514866907567462	0.012119250239795236	0.23104536914096235	FALSE	TRUE	1.014620719111718	NA	146.87685389481615	0.05	1.2178240929101423	0.1969783701739074
Willer2013tc	covidhgi2020C2v6alleur	5e-8	0.06158815440733857	188577	1388208	84	0.07043829166810738	Inverse variance weighted (fixed effects)	-0.0045153406784307565	0.012242105242157082	0.7122492662455817	TRUE	TRUE	0.9954948381462404	NA	147.27103709302432	0.05	0.11369354936361226	0.06312344564965011
Willer2013tg	covidhgi2020A2v6alleur	5e-8	0.04698739499355775	188577	1388208	54	0.005504218388022544	Inverse variance weighted (fixed effects)	0.0759827173813979	0.06217465683152584	0.22167547343132357	FALSE	TRUE	1.078943927019765	NA	172.12779364755184	0.05	2.223358154033921	0.3198601048813047
Willer2013tg	covidhgi2020B2v6alleur	5e-8	0.04698739499355775	188577	1388208	54	0.013402170279958046	Inverse variance weighted (fixed effects)	0.03759082308979119	0.038257018109272393	0.32581107415704935	FALSE	TRUE	1.038306294985407	NA	172.12779364755184	0.05	1.2643115495402903	0.20272453097766197
Willer2013tg	covidhgi2020B2v6alleur	5e-8	0.04660203345347069	188577	1388208	52	0.013402170279958046	Inverse variance weighted (fixed effects)	0.021937200681697556	0.0383970655597568	0.5677794076123106	TRUE	TRUE	1.0221795902733315	NA	177.21233506680696	0.05	0.4205584904545453	0.09939875439060875
Willer2013tg	covidhgi2020C2v6alleur	5e-8	0.04698739499355775	188577	1388208	54	0.07043829166810738	Inverse variance weighted (fixed effects)	0.014506234946074736	0.01374380564262694	0.29120841393662583	FALSE	TRUE	1.0146119609825408	NA	172.12779364755184	0.05	0.9100232528561096	0.1589893888639946
Dashti2019slepdur	covidhgi2020A2v6alleur	5e-8	0.006055638226488145	446118	1388208	66	0.005504218388022544	Inverse variance weighted (fixed effects)	0.2279234172174579	0.1849210217661305	0.21774569599884425	FALSE	TRUE	1.2559891346063399	NA	41.17545710481376	0.05	3.008073946050406	0.4108727224454126
Dashti2019slepdur	covidhgi2020B2v6alleur	5e-8	0.00613081967157925	446118	1388208	67	0.013402170279958046	Inverse variance weighted (fixed effects)	-0.07620104718703873	0.11168754575281317	0.4950683220487112	FALSE	TRUE	0.9266298914978387	NA	41.06748051903914	0.05	0.6070328442404371	0.12191347684811993
Dashti2019slepdur	covidhgi2020B2v6alleur	5e-8	0.006054503971882588	446118	1388208	66	0.013402170279958046	Inverse variance weighted (fixed effects)	-0.06857125366208118	0.1117097783557786	0.5393250652193597	TRUE	TRUE	0.9337269262702808	NA	41.16769773432757	0.05	0.48901222806917066	0.10762955041374045
Dashti2019slepdur	covidhgi2020C2v6alleur	5e-8	0.006055638226488145	446118	1388208	66	0.07043829166810738	Inverse variance weighted (fixed effects)	-0.04149426358540619	0.04003189544004919	0.2999549160809847	FALSE	TRUE	0.9593548385827846	NA	41.17545710481376	0.05	0.9146538687948959	0.15955930012686537
Evangelou2018dbp	covidhgi2020A2v6alleur	5e-8	0.04660430609823263	757601	1388208	447	0.005504218388022544	Inverse variance weighted (fixed effects)	-0.0697768535421702	0.0676035209332673	0.3020026893541513	FALSE	TRUE	0.9326019034998576	NA	82.79974214569908	0.05	1.6099320408797215	0.24536254357336507
Evangelou2018dbp	covidhgi2020A2v6alleur	5e-8	0.0462156041558504	757601	1388208	443	0.005504218388022544	Inverse variance weighted (fixed effects)	-0.05026502938409708	0.06794027330969078	0.4593962130641897	TRUE	TRUE	0.950977354156703	NA	82.81721795609774	0.05	0.8444528283495915	0.15092776598745083
Evangelou2018dbp	covidhgi2020B2v6alleur	5e-8	0.046645073093634366	757601	1388208	448	0.013402170279958046	Inverse variance weighted (fixed effects)	0.00630643666526522	0.04022113257016699	0.8754071153528725	FALSE	TRUE	1.006326364105327	NA	82.69061510490315	0.05	0.03426183056308078	0.05393401925810426
Evangelou2018dbp	covidhgi2020B2v6alleur	5e-8	0.046143304012438234	757601	1388208	443	0.013402170279958046	Inverse variance weighted (fixed effects)	0.02868936848567167	0.04044121640063382	0.47807061841028187	TRUE	TRUE	1.029104872414907	NA	82.68139035560648	0.05	0.7169288142860462	0.1353038180778232
Evangelou2018dbp	covidhgi2020C2v6alleur	5e-8	0.04657636722909018	757601	1388208	447	0.07043829166810738	Inverse variance weighted (fixed effects)	-0.04579185905444577	0.014286057232595174	0.0013489684453041808	FALSE	TRUE	0.9552407662166802	NA	82.74767954615476	0.05	8.536357545540323	0.8319105589103897
Evangelou2018dbp	covidhgi2020C2v6alleur	5e-8	0.045757274049061325	757601	1388208	444	0.07043829166810738	Inverse variance weighted (fixed effects)	-0.022637270315521544	0.014421458933471914	0.11648643467512088	TRUE	TRUE	0.9776170301840352	NA	81.77182374378614	0.05	2.0903641579519276	0.3039017632647725
Evangelou2018sbp	covidhgi2020A2v6alleur	5e-8	0.04254936149637311	757601	1388208	432	0.005504218388022544	Inverse variance weighted (fixed effects)	-0.11562655097396443	0.07029980416756029	0.10001859484974156	FALSE	TRUE	0.8908078325047485	NA	77.89061961614475	0.05	3.859932763423726	0.5019213146637429
Evangelou2018sbp	covidhgi2020B2v6alleur	5e-8	0.04294738656667583	757601	1388208	435	0.013402170279958046	Inverse variance weighted (fixed effects)	0.022116408221460757	0.04178841553398418	0.5966338731032024	FALSE	TRUE	1.022362788977705	NA	78.10920207226529	0.05	0.394004413933098	0.09621784408682199
Evangelou2018sbp	covidhgi2020C2v6alleur	5e-8	0.04303781610206553	757601	1388208	437	0.07043829166810738	Inverse variance weighted (fixed effects)	-0.029369098419287355	0.01480710736856621	0.047317629177525834	FALSE	TRUE	0.9710579823467621	NA	77.92259294692944	0.05	3.2903785815217645	0.44203161157836734
Evangelou2018sbp	covidhgi2020C2v6alleur	5e-8	0.042651046630341	757601	1388208	435	0.07043829166810738	Inverse variance weighted (fixed effects)	-0.021030722275968642	0.014877612788941322	0.1574847358588285	TRUE	TRUE	0.9791888811963135	NA	77.54623191157145	0.05	1.6840255768016235	0.25446272890950494
Evangelou2018pp	covidhgi2020A2v6alleur	5e-8	0.038024852929686916	757601	1388208	391	0.005504218388022544	Inverse variance weighted (fixed effects)	-0.09846787056401002	0.07405537753225738	0.1836330024476414	FALSE	TRUE	0.9062248086385092	NA	76.54956035764201	0.05	2.543700524240465	0.35772026893310693
Evangelou2018pp	covidhgi2020A2v6alleur	5e-8	0.03795028485902092	757601	1388208	390	0.005504218388022544	Inverse variance weighted (fixed effects)	-0.11097336325301686	0.07411887075624167	0.134332136020929	TRUE	TRUE	0.8949625875035413	NA	76.58950426856005	0.05	3.185552691426373	0.43057025311994856
Evangelou2018pp	covidhgi2020B2v6alleur	5e-8	0.038137197494033645	757601	1388208	392	0.013402170279958046	Inverse variance weighted (fixed effects)	-0.003902815730846533	0.04429472904264773	0.929789120060697	FALSE	TRUE	0.9961047903561985	NA	76.58871316568673	0.05	0.010622474858599164	0.051217710016005724
Evangelou2018pp	covidhgi2020C2v6alleur	5e-8	0.03822186448431386	757601	1388208	394	0.07043829166810738	Inverse variance weighted (fixed effects)	-0.014667529129033291	0.015729734046330924	0.35109289468911353	FALSE	TRUE	0.9854395150792568	NA	76.37562782745998	0.05	0.7380783488267751	0.13788924877805064
