id.exposure	id.outcome	outcome	exposure	pt	method	nsnp	outliers_removed	b	sd	t.stat	pval
NL4XsC	9RTVus	covidhgi2020A2v5alleurLeaveUKBB	Yengo2018bmi	5e-8	MR-PRESSO	504	Raw	0.32686777259138267	0.08900560936420243	3.6724401408665273	2.659755651971899e-4
NL4XsC	9RTVus	covidhgi2020A2v5alleurLeaveUKBB	Yengo2018bmi	5e-8	MR-PRESSO	504	Outlier-corrected	NA	NA	NA	NA
4POekY	So2Tn3	covidhgi2020B2v5alleurLeaveUKBB	Yengo2018bmi	5e-8	MR-PRESSO	504	Raw	0.26996073692467876	0.06924889368950216	3.898412271178329	1.0994778314769484e-4
4POekY	So2Tn3	covidhgi2020B2v5alleurLeaveUKBB	Yengo2018bmi	5e-8	MR-PRESSO	504	Outlier-corrected	NA	NA	NA	NA
elQ72X	xbgc9V	covidhgi2020C2v5alleurLeaveUKBB	Yengo2018bmi	5e-8	MR-PRESSO	504	Raw	0.06774889570007867	0.029830553939492247	2.271124292143528	0.023561236549018066
elQ72X	xbgc9V	covidhgi2020C2v5alleurLeaveUKBB	Yengo2018bmi	5e-8	MR-PRESSO	504	Outlier-corrected	NA	NA	NA	NA
R1zIIA	Z5Al7O	covidhgi2020A2v5alleurLeaveUKBB	Mahajan2018t2d	5e-8	MR-PRESSO	195	Raw	0.08562455043612326	0.04173429176120962	2.0516593626660726	0.041546329509043606
R1zIIA	Z5Al7O	covidhgi2020A2v5alleurLeaveUKBB	Mahajan2018t2d	5e-8	MR-PRESSO	194	Outlier-corrected	0.07449423477501325	0.04001902456128839	1.8614705278717307	0.06419828258881569
rIIfWH	9EvMcc	covidhgi2020B2v5alleurLeaveUKBB	Mahajan2018t2d	5e-8	MR-PRESSO	194	Raw	0.04346006290091762	0.03244702861876088	1.3394158032636925	0.1820105007691416
rIIfWH	9EvMcc	covidhgi2020B2v5alleurLeaveUKBB	Mahajan2018t2d	5e-8	MR-PRESSO	193	Outlier-corrected	0.03366994810101447	0.030540323713648287	1.102475154379833	0.2716351580666587
Jxl8KZ	y5cSDl	covidhgi2020C2v5alleurLeaveUKBB	Mahajan2018t2d	5e-8	MR-PRESSO	195	Raw	0.011885521327187424	0.015924955092318848	0.7463456730826337	0.45636209231356073
Jxl8KZ	y5cSDl	covidhgi2020C2v5alleurLeaveUKBB	Mahajan2018t2d	5e-8	MR-PRESSO	194	Outlier-corrected	0.0042028998785160355	0.012936002805781279	0.32489942539574135	0.745609096121624
NOr5mG	XQmntx	covidhgi2020A2v5alleurLeaveUKBB	Willer2013hdl	5e-8	MR-PRESSO	87	Raw	-0.03592790299717634	0.07320422978792297	-0.49078998715322353	0.6248250130535065
NOr5mG	XQmntx	covidhgi2020A2v5alleurLeaveUKBB	Willer2013hdl	5e-8	MR-PRESSO	87	Outlier-corrected	NA	NA	NA	NA
FSbLje	Xsh8SE	covidhgi2020B2v5alleurLeaveUKBB	Willer2013hdl	5e-8	MR-PRESSO	87	Raw	-0.09690797130357692	0.057163578851094965	-1.6952747405128687	0.09364123028706983
FSbLje	Xsh8SE	covidhgi2020B2v5alleurLeaveUKBB	Willer2013hdl	5e-8	MR-PRESSO	87	Outlier-corrected	NA	NA	NA	NA
AZTyY8	JYSeuq	covidhgi2020C2v5alleurLeaveUKBB	Willer2013hdl	5e-8	MR-PRESSO	87	Raw	-0.008287191310991844	0.024734526167526208	-0.3350454847957444	0.7384066348567512
AZTyY8	JYSeuq	covidhgi2020C2v5alleurLeaveUKBB	Willer2013hdl	5e-8	MR-PRESSO	87	Outlier-corrected	NA	NA	NA	NA
zuo2fJ	SLs0y8	covidhgi2020A2v5alleurLeaveUKBB	Willer2013ldl	5e-8	MR-PRESSO	78	Raw	-0.01687255111150383	0.067854291494962235	-0.2486585702947987	0.8042869200014211
